title,speaker,nviews,topics
"Depression, the secret we share",Andrew Solomon,"3,360,646",TEDx
Learning from a barefoot movement,Bunker Roy,"3,348,827",Culture
Can we eat to starve cancer?,William Li,"3,342,031",TED Conference
Robots that fly ... and cooperate,Vijay Kumar,"3,325,540",AI
The way we think about charity is dead wrong,Dan Pallotta,"3,321,034",TED Conference
Imaging at a trillion frames per second,Ramesh Raskar,"3,265,694",Innovation
How algorithms shape our world,Kevin Slavin,"3,228,536",Complexity
5 dangerous things you should let your kids do,Gever Tulley,"3,156,627",TED Conference
Keep your goals to yourself,Derek Sivers,"3,151,025",Goal-setting
"Beware online ""filter bubbles""",Eli Pariser,"3,127,935",TED Conference
To This Day ... for the bullied and beautiful,Shane Koyczan,"3,133,692",TED Conference
3 clues to understanding your brain,VS Ramachandran,"3,091,961",TED Conference
The new era of positive psychology,Martin Seligman,"3,072,827",TED Conference
Tales of passion,Isabel Allende,"3,063,887",Latin America
Making sense of string theory,Brian Greene,"3,057,732",String theory
Did you hear the one about the Iranian-American?,Maz Jobrani,"3,058,410",Iran
Why you will fail to have a great career,Larry Smith,"3,054,965",TEDx
The world needs all kinds of minds,Temple Grandin,"3,046,153",TED Conference
How to truly listen,Evelyn Glennie,"3,013,650",TED Conference
Letting go of God,Julia Sweeney,"2,996,814",Christianity
Learning from dirty jobs,Mike Rowe,"2,995,724",Economics
Innovating to zero!,Bill Gates,"2,977,594",TED Conference
What's wrong with what we eat,Mark Bittman,"2,944,472",Environment
Close-up card magic with a twist,Lennart Green,"2,951,966",TED Conference
"A Saudi, an Indian and an Iranian walk into a Qatari bar ...",Maz Jobrani,"2,920,355",Middle East
"A virtual choir 2,000 voices strong",Eric Whitacre,"2,863,422",TED Conference
The brain in love,Helen Fisher,"2,833,814",TED Conference
"The new bionics that let us run, climb and dance",Hugh Herr,"2,835,058",TED Conference
Where good ideas come from,Steven Johnson,"2,822,267",Collaboration
How we found the giant squid,Edith Widder,"2,795,166",TED Conference
My 12 pairs of legs,Aimee Mullins,"2,771,702",TED Conference
How to build your creative confidence,David Kelley,"2,773,716",TED Conference
How movies teach manhood,Colin Stokes,"2,771,093",TEDx
How to succeed? Get more sleep,Arianna Huffington,"2,739,953",Business
How to fight desertification and reverse climate change,Allan Savory,"2,710,608",TED Conference
How to make filthy water drinkable,Michael Pritchard,"2,709,663",Business
New insights on poverty,Hans Rosling,"2,702,049",Africa
What you don't know about marriage,Jenna McCarthy,"2,701,676",TEDx
The voices in my head,Eleanor Longden,"2,698,496",TED Conference
On being wrong,Kathryn Schulz,"2,693,140",TED Conference
CERN's supercollider,Brian Cox,"2,680,685",String theory
Why good leaders make you feel safe,Simon Sinek,"2,682,237",TED Conference
The 4 a.m. mystery,Rives,"2,658,608",TED Conference
Impossible photography,Erik Johansson,"2,650,728",Creativity
The riddle of experience vs. memory,Daniel Kahneman,"2,649,441",TED Conference
"Never, ever give up",Diana Nyad,"2,641,380",Aging
Averting the climate crisis,Al Gore,"2,632,093",TED Conference
The mystery box,J.J. Abrams,"2,625,961",TED Conference
How to make hard choices,Ruth Chang,"2,639,091",Choice
6 ways mushrooms can save the world,Paul Stamets,"2,621,254",TED Conference
How to buy happiness,Michael Norton,"2,618,592",TEDx
Nature. Beauty. Gratitude.,Louie Schwartzberg,"2,607,197",TEDx
"Love, no matter what",Andrew Solomon,"2,590,122",Children
Here's how we take back the Internet,Edward Snowden,"2,588,036",Internet
What hallucination reveals about our minds,Oliver Sacks,"2,576,679",TED Conference
"It's time for ""The Talk""",Julia Sweeney,"2,573,125",TED Conference
A roadmap to end aging,Aubrey de Grey,"2,571,086",Aging
Why dieting doesn't usually work,Sandra Aamodt,"2,564,735",Health
Success is a continuous journey,Richard St. John,"2,555,677",TED Conference
Half a million secrets,Frank Warren,"2,551,842",TED Conference
My journey to yo-yo mastery,BLACK,"2,557,648",TED Conference
"Robots with ""soul""",Guy Hoffman,"2,539,630",AI
"Connected, but alone?",Sherry Turkle,"2,527,673",AI
A TED speaker's worst nightmare,Improv Everywhere,"2,506,091",TED Conference
5 ways to listen better,Julian Treasure,"2,506,543",Arts
How to make work-life balance work,Nigel Marsh,"2,500,205",TEDx
Science can answer moral questions,Sam Harris,"2,489,509",TED Conference
"Yup, I built a nuclear fusion reactor",Taylor Wilson,"2,484,570",TED Conference
Why we make bad decisions,Dan Gilbert,"2,480,242",Brain
Image recognition that triggers augmented reality,Matt Mills,"2,462,289",Demo
"Less stuff, more happiness",Graham Hill,"2,450,103",TED Conference
The next species of human,Juan Enriquez,"2,446,800",TED Conference
A 12-year-old app developer,Thomas Suarez,"2,463,685",TEDx
The magic of Fibonacci numbers,Arthur Benjamin,"2,444,054",Entertainment
"Flow, the secret to happiness",Mihaly Csikszentmihalyi,"2,443,228",TED Conference
How to use a paper towel,Joe Smith,"2,411,317",TEDx
The shared experience of absurdity,Charlie Todd,"2,382,757",TEDx
3 ways to speak English,Jamila Lyiscott,"2,389,168",Culture
The $8 billion iPod,Rob Reid,"2,354,656",TED Conference
Moral behavior in animals,Frans de Waal,"2,349,260",TEDx
Why is 'x' the unknown?,Terry Moore,"2,345,860",TED Conference
Why I must come out,Geena Rocero,"2,336,523",LGBT
Who am I? Think again,Hetain Patel,"2,329,905",Art
Does money make you mean?,Paul Piff,"2,327,440",TEDx
"Mosquitos, malaria and education",Bill Gates,"2,323,197",TED Conference
The best gift I ever survived,Stacey Kramer,"2,305,648",TED Conference
This is Saturn,Carolyn Porco,"2,301,235",NASA
How we read each other's minds,Rebecca Saxe,"2,293,855",Brain
Our loss of wisdom,Barry Schwartz,"2,290,170",TED Conference
